Year,Competition,Player Name,Nat.,Age,Height(Unit:m),Birthdate,Club,Position,Position Detail,Appearances,Assists,Penalty Kicks,Minutes Played,Minutes Per Goals,Goals Per Match,Goals,League Level,Salary,Salary Date,Joined Date,Contract Until,Player Agent,Date of Last Contract Extension,Highest Market Value,Date of Highest Value,player_href
2021,USL1,Marky Hernandez,United States,25,1.65,1996-08-07,Chattanooga Red Wolves SC,W,attack - Left Winger,23.0,3,0.0,1099.0,220,0.22,5,Third Tier,110000,,2022-01-11,2022-11-30,,,110000,,https://www.transfermarkt.us/marky-hernandez/profil/spieler/657722
2021,USL1,Noel Buck,United States-England,16 (17),1.8,2005-04-05,New England Revolution II,CM,midfield - Central Midfield,28.0,1,0.0,1911.0,382,0.18,5,First Tier,220000,,2022-01-18,2025-12-31,Agent is known - Player under 18,,220000,,https://www.transfermarkt.us/noel-buck/profil/spieler/882657
2021,USL1,Jonathan Bolanos,United States,23,1.78,1998-05-20,Richmond Kickers,AM,midfield - Attacking Midfield,28.0,1,0.0,2003.0,401,0.18,5,Third Tier,165000,,2020-01-27,2022-11-30,Ascension Athletes,2022-02-02,165000,,https://www.transfermarkt.us/jonathan-bolanos/profil/spieler/637080
2021,USL1,Derek Gebhard,United States,26,1.83,1995-10-15,Forward Madison FC,CF,attack - Centre-Forward,27.0,1,0.0,2227.0,445,0.19,5,Third Tier,138000,,2021-02-11,2022-11-30,Topnotch Management,2021-12-10,165000,,https://www.transfermarkt.us/derek-gebhard/profil/spieler/401304
2021,USL1,Bernard Kamungo,Tanzania,19 (20),1.75,2002-01-01,North Texas SC,W,attack - Right Winger,22.0,0,0.0,1072.0,214,0.23,5,Third Tier,165000,,2021-03-25,2022-11-30,D2PSports,,165000,,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
2021,USL1,Edward Kizza,Uganda,22 (23),1.75,1998-12-17,New England Revolution II,CF,attack - Centre-Forward,12.0,0,0.0,1006.0,201,0.42,5,Second Tier,220000,,2022-03-30,2022-11-30,ICM Stellar Sports,,220000,,https://www.transfermarkt.us/edward-kizza/profil/spieler/857412
2021,USL1,Ricky Ruiz,United States,24 (25),1.68,1996-11-04,Chattanooga Red Wolves SC,W,midfield - Right Midfield,28.0,9,0.0,2454.0,614,0.14,4,Second Tier,165000,,2022-02-23,2022-11-30,FSG USA,,165000,,https://www.transfermarkt.us/ricky-ruiz/profil/spieler/758827
2021,USL1,Devin Boyce,United States,25,1.78,1996-09-08,Union Omaha,W,midfield - Right Midfield,27.0,8,0.0,2038.0,510,0.15,4,Second Tier,193000,,2022-01-20,2022-11-30,Path2Pro,,193000,,https://www.transfermarkt.us/devin-boyce/profil/spieler/795794
2021,USL1,Jay Tee Kamara,Sierra Leone,19,1.61,2002-05-10,North Carolina FC,AM,midfield - Attacking Midfield,21.0,5,0.0,1382.0,346,0.19,4,Third Tier,165000,,2022-02-18,2022-11-30,,,165000,,https://www.transfermarkt.us/jay-tee-kamara/profil/spieler/858901
2021,USL1,Kalil ElMedkhar,United States-Syria,22,1.88,1999-08-18,North Texas SC,W,attack - Left Winger,13.0,5,0.0,1039.0,260,0.31,4,First Tier,165000,,2021-01-14,2022-12-31,,,165000,,https://www.transfermarkt.us/kalil-elmedkhar/profil/spieler/637479
2021,USL1,Jonathan Ricketts,United States,23 (24),1.85,1997-11-20,Chattanooga Red Wolves SC,FB,Defender - Right-Back,27.0,4,0.0,2401.0,600,0.15,4,Second Tier,193000,,2022-02-23,2022-11-30,FSG USA,,193000,,https://www.transfermarkt.us/jonathan-ricketts/profil/spieler/735328
2021,USL1,Giovanni Calixtro,United States,21,1.8,2000-06-27,FC Tucson,CF,attack - Centre-Forward,26.0,4,0.0,1630.0,408,0.15,4,Third Tier,165000,,2021-03-10,2022-11-30,,2021-12-02,165000,,https://www.transfermarkt.us/giovanni-calixtro/profil/spieler/513282
2021,USL1,Aaron Molloy,Ireland,24 (25),1.78,1997-01-11,Forward Madison FC,CF,midfield,27.0,3,1.0,2392.0,598,0.15,4,Second Tier,220000,,2022-01-11,2022-11-30,Topnotch Management,,220000,,https://www.transfermarkt.us/aaron-molloy/profil/spieler/428901
2021,USL1,Selmir Miscic,United States-Bosnia-Herzegovina,18 (19),1.7,2003-01-23,North Carolina FC,AM,midfield - Attacking Midfield,25.0,3,1.0,1411.0,353,0.16,4,Third Tier,138000,,2022-03-28,2022-12-31,PROSPORT Management,,138000,,https://www.transfermarkt.us/selmir-miscic/profil/spieler/628251
2021,USL1,Venton Evans,Jamaica,23,,1998-06-19,Fort Lauderdale CF,W,attack - Right Winger,21.0,2,0.0,1444.0,361,0.19,4,Third Tier,110000,,2021-12-23,2022-11-30,,,110000,,https://www.transfermarkt.us/venton-evans/profil/spieler/602239
2021,USL1,Paul Rothrock,United States,22 (23),1.73,1999-01-09,Toronto FC II,CF,attack - Centre-Forward,12.0,2,0.0,638.0,160,0.33,4,Third Tier,110000,,2021-05-18,2022-11-30,,,110000,,https://www.transfermarkt.us/paul-rothrock/profil/spieler/503092
2021,USL1,Stefan Mueller,United States,26,1.85,1995-10-13,South Georgia Tormenta FC,FB,Defender - Left-Back,18.0,1,0.0,1338.0,335,0.22,4,Second Tier,165000,,2022-03-08,2022-11-30,Dierolf Rechtsanwälte AG,,165000,,https://www.transfermarkt.us/stefan-mueller/profil/spieler/505700
2021,USL1,Robert Kristo,United States-Croatia,28,1.95,1993-05-14,North Carolina FC,CF,attack - Centre-Forward,18.0,0,2.0,897.0,224,0.22,4,,138000,,2021-10-31,2024-06-30,PROSPORT Management,,138000,,https://www.transfermarkt.us/robert-kristo/profil/spieler/354895
2021,USL1,Thibaut Jacquel,France,24 (25),1.85,1997-03-23,North Texas SC,CF,attack - Centre-Forward,15.0,0,1.0,739.0,185,0.27,4,,83000,,2022-01-08,2023-06-30,,,83000,,https://www.transfermarkt.us/thibaut-jacquel/profil/spieler/635970
2021,USL1,Josiah Trimmingham,Trinidad and Tobago,24 (25),1.88,1996-12-14,Forward Madison FC,CB,Defender - Centre-Back,11.0,0,0.0,504.0,126,0.36,4,,138000,,2022-01-01,,Futbol Marketing Group,,138000,,https://www.transfermarkt.us/josiah-trimmingham/profil/spieler/482812
2021,USL1,George Acosta,United States-Colombia,21 (22),1.7,2000-01-19,Fort Lauderdale CF,AM,midfield - Attacking Midfield,21.0,6,0.0,1567.0,522,0.14,3,First Tier,220000,,2020-01-01,2022-12-31,YMU Group,2022-01-13,220000,,https://www.transfermarkt.us/george-acosta/profil/spieler/370975
2021,USL1,Josh Coan,United States,23 (24),1.75,1998-02-21,North Carolina FC,W,attack - Left Winger,28.0,4,0.0,1607.0,536,0.11,3,Third Tier,138000,,2022-02-17,2022-11-30,Topnotch Management,,138000,,https://www.transfermarkt.us/josh-coan/profil/spieler/763523
2021,USL1,Nicky Hernandez,United States-Mexico,23,1.8,1998-09-21,North Texas SC,CM,midfield - Central Midfield,22.0,4,1.0,1627.0,542,0.14,3,Second Tier,165000,,2022-04-13,2022-11-30,PFC,,165000,,https://www.transfermarkt.us/nicky-hernandez/profil/spieler/636487
2021,USL1,Daniel Bedoya,Colombia,27 (28),1.68,1994-02-13,FC Tucson,AM,midfield - Attacking Midfield,27.0,3,1.0,1424.0,475,0.11,3,Third Tier,138000,,2021-03-02,2022-11-30,DV7 Management,2022-02-22,138000,,https://www.transfermarkt.us/daniel-bedoya/profil/spieler/369848
2021,USL1,Oalex Anderson,St. Vincent & Grenadinen,25 (26),1.73,1995-11-11,Richmond Kickers,CF,attack - Centre-Forward,24.0,3,0.0,704.0,235,0.13,3,Third Tier,138000,,2022-01-18,2022-11-30,"Jordie Isen, Football Agent",,193000,,https://www.transfermarkt.us/oalex-anderson/profil/spieler/313448
2021,USL1,Lachlan McLean,Australia,25 (26),1.83,1996-03-28,Greenville Triumph SC,CF,attack - Centre-Forward,14.0,2,0.0,842.0,281,0.21,3,Third Tier,165000,,2021-12-17,2022-11-30,First Team,,165000,,https://www.transfermarkt.us/lachlan-mclean/profil/spieler/751149
2021,USL1,Ryan Spaulding,United States-Italy,23,1.75,1998-09-10,New England Revolution II,FB,Defender - Left-Back,28.0,1,0.0,2331.0,777,0.11,3,First Tier,165000,,2022-02-18,2022-12-31,Agrinzonis Management Group,,165000,,https://www.transfermarkt.us/ryan-spaulding/profil/spieler/709179
2021,USL1,Antonio Carlini,Canada-Italy,20 (21),1.75,2001-02-23,Toronto FC II,CM,midfield - Central Midfield,27.0,1,0.0,1858.0,619,0.11,3,Third Tier,138000,,2020-07-02,2022-11-30,NOVERA Sports,2022-03-18,138000,,https://www.transfermarkt.us/antonio-carlini/profil/spieler/694523
2021,USL1,Cole Frame,United States,19,1.7,2002-10-05,North Carolina FC,W,attack - Right Winger,26.0,1,0.0,1466.0,489,0.12,3,Third Tier,110000,,2021-09-07,2022-11-30,,,110000,,https://www.transfermarkt.us/cole-frame/profil/spieler/876377
2021,USL1,Themi Antonoglou,Canada-Greece,20,1.78,2001-06-02,Toronto FC II,W,midfield - Left Midfield,19.0,1,0.0,843.0,281,0.16,3,Third Tier,83000,,2020-07-02,2022-11-30,OPSMPRO,2022-03-18,83000,,https://www.transfermarkt.us/themi-antonoglou/profil/spieler/680394
2021,USL1,Kevin Rodríguez,United States,25,1.73,1996-09-25,FC Tucson,W,midfield - Right Midfield,17.0,1,0.0,528.0,176,0.18,3,Third Tier,110000,,2021-02-10,2022-11-30,,2021-12-02,110000,,https://www.transfermarkt.us/kevin-rodriguez/profil/spieler/657902
2021,USL1,Eddie Munjoma,United States,23,1.78,1998-07-18,North Texas SC,FB,Defender - Right-Back,9.0,1,0.0,806.0,269,0.33,3,First Tier,440000,,2020-01-13,2022-12-31,Promoesport,,440000,,https://www.transfermarkt.us/eddie-munjoma/profil/spieler/636468
2021,USL1,Jayden Nelson,Canada-Jamaica,18 (19),1.7,2002-09-26,Toronto FC II,W,attack - Left Winger,8.0,1,0.0,686.0,229,0.38,3,First Tier,2.75m,,2020-01-23,2022-12-31,ATG Sports,,2.75m,,https://www.transfermarkt.us/jayden-nelson/profil/spieler/635445
2021,USL1,Jorge Almaguer,United States,21,1.72,2000-09-21,North Texas SC,CM,midfield - Central Midfield,24.0,0,0.0,1927.0,642,0.13,3,Second Tier,193000,,2022-02-04,2022-11-30,PFC,,193000,,https://www.transfermarkt.us/jorge-almaguer/profil/spieler/663311
2021,USL1,Edison Azcona,Dominican Republic-United States,17 (18),1.68,2003-11-21,Fort Lauderdale CF,W,attack - Left Winger,12.0,0,0.0,814.0,271,0.25,3,First Tier,110000,,2021-01-26,2022-12-31,,,110000,,https://www.transfermarkt.us/edison-azcona/profil/spieler/794699
2021,USL1,Kobe Franklin,Canada,18,1.68,2003-05-10,Toronto FC II,FB,Defender - Right-Back,24.0,6,0.0,2150.0,1075,0.08,2,Third Tier,165000,,2021-05-13,2022-11-30,,,165000,,https://www.transfermarkt.us/kobe-franklin/profil/spieler/718086
2021,USL1,Nil Vinyals,Spain,25,,1996-09-21,Richmond Kickers,CM,midfield - Defensive Midfield,26.0,4,1.0,2011.0,1006,0.08,2,Third Tier,193000,,2021-02-11,2022-11-30,Path2Pro,2022-01-04,193000,,https://www.transfermarkt.us/nil-vinyals/profil/spieler/585729
2021,USL1,Allen Gavilanes,United States,22,1.7,1999-08-24,Greenville Triumph SC,W,midfield - Left Midfield,24.0,3,0.0,1259.0,630,0.08,2,Third Tier,110000,,2021-04-20,2022-11-30,,2021-12-15,110000,,https://www.transfermarkt.us/allen-gavilanes/profil/spieler/886066
2021,USL1,João Delgado,Portugal,27,,1994-09-15,FC Tucson,AM,midfield - Attacking Midfield,23.0,3,0.0,1358.0,679,0.09,2,Third Tier,110000,,2021-02-17,2022-11-30,First Wave Sports,2021-12-02,110000,,https://www.transfermarkt.us/joao-delgado/profil/spieler/352948
2021,USL1,Justin Sukow,United States,23,1.78,1998-09-19,Forward Madison FC,CM,midfield - Central Midfield,22.0,3,0.0,1323.0,662,0.09,2,Third Tier,110000,,2021-04-22,2022-11-30,Path2Pro,2021-12-16,110000,,https://www.transfermarkt.us/justin-sukow/profil/spieler/886631
2021,USL1,Emir Alihodzic,United States-Bosnia-Herzegovina,28 (29),1.83,1993-02-09,Union Omaha,CM,midfield - Central Midfield,27.0,2,0.0,1242.0,621,0.07,2,Third Tier,138000,,2021-04-22,2022-11-30,ZUKA SOCCER,2022-04-05,165000,,https://www.transfermarkt.us/emir-alihodzic/profil/spieler/217448
2021,USL1,José Carrera,Mexico-Mexico,26,1.64,1995-07-20,Chattanooga Red Wolves SC,CM,midfield - Central Midfield,27.0,2,0.0,2420.0,1210,0.07,2,Third Tier,165000,,2020-12-01,2022-11-30,Path2Pro,2021-12-07,165000,,https://www.transfermarkt.us/jose-carrera/profil/spieler/378483
2021,USL1,Andrew Booth,Jamaica-United States,24,,1997-07-16,Greenville Triumph SC,W,midfield - Right Midfield,27.0,2,0.0,1964.0,982,0.07,2,Second Tier,110000,,2022-01-03,2022-11-30,Remington Ellis Management,,110000,,https://www.transfermarkt.us/andrew-booth/profil/spieler/509539
2021,USL1,Don Smart,Jamaica,33 (34),1.75,1987-12-02,Greenville Triumph SC,W,midfield - Right Midfield,21.0,2,0.0,1184.0,592,0.1,2,Third Tier,110000,,2020-12-14,2022-11-30,ProConnect Soccer,2021-12-15,220000,,https://www.transfermarkt.us/don-smart/profil/spieler/190919
2021,USL1,Jackson Dietrich,Germany-United States,25,,1996-09-27,Chattanooga Red Wolves SC,CF,midfield,20.0,2,0.0,662.0,331,0.1,2,,83000,,2021-12-01,,ProConnect Soccer,,83000,,https://www.transfermarkt.us/jackson-dietrich/profil/spieler/843820
2021,USL1,Connor Tobin,United States,34 (35),1.88,1987-02-11,Forward Madison FC,CB,Defender - Centre-Back,28.0,1,0.0,2519.0,1260,0.07,2,,110000,,2021-12-01,,,,330000,,https://www.transfermarkt.us/connor-tobin/profil/spieler/107888
2021,USL1,Kobe Pérez,Guatemala-United States,24 (25),1.7,1997-04-10,South Georgia Tormenta FC,CM,midfield - Central Midfield,26.0,1,0.0,948.0,474,0.08,2,,110000,,2021-12-01,,,,110000,,https://www.transfermarkt.us/kobe-perez/profil/spieler/690600
2021,USL1,Julian Altobelli,Canada-Italy,18 (19),1.78,2002-11-04,Toronto FC II,CF,attack - Centre-Forward,23.0,1,0.0,1512.0,756,0.09,2,Third Tier,110000,,2020-12-16,2022-11-30,Felkrem,,110000,,https://www.transfermarkt.us/julian-altobelli/profil/spieler/718101
2021,USL1,Manuel Ferriol,Spain,23,1.8,1998-08-13,FC Tucson,CM,midfield - Central Midfield,20.0,1,0.0,835.0,418,0.1,2,,110000,,2021-12-01,,Invicta,,110000,,https://www.transfermarkt.us/manuel-ferriol/profil/spieler/637060
2021,USL1,Juan Pablo Monticelli,United States-Mexico,24,1.87,1997-08-26,Richmond Kickers,FB,Defender - Left-Back,18.0,1,0.0,1354.0,677,0.11,2,,,,2022-01-21,,,,138000,,https://www.transfermarkt.us/juan-pablo-monticelli/profil/spieler/564217
2021,USL1,Joshua Donnelly,England,24 (25),1.86,1997-03-06,Greenville Triumph SC,CF,attack - Centre-Forward,17.0,1,0.0,655.0,328,0.12,2,,138000,,2021-12-01,,HNG Talent ltd,,138000,,https://www.transfermarkt.us/joshua-donnelly/profil/spieler/635967
2021,USL1,Josh Penn,United States,20 (21),1.78,2000-11-25,Fort Lauderdale CF,W,attack - Left Winger,10.0,1,0.0,818.0,409,0.2,2,Third Tier,138000,,2022-03-08,2022-11-30,,,138000,,https://www.transfermarkt.us/josh-penn/profil/spieler/615158
2021,USL1,Jimmie Villalobos,United States-Mexico,26,1.78,1995-07-21,Chattanooga Red Wolves SC,W,midfield - Right Midfield,25.0,0,0.0,1823.0,912,0.08,2,Third Tier,110000,,2020-12-04,2022-11-30,,2021-12-22,110000,,https://www.transfermarkt.us/jimmie-villalobos/profil/spieler/836268
2021,USL1,Max Flick,United States,27,1.83,1994-06-29,North Carolina FC,CB,Defender - Centre-Back,25.0,0,0.0,2201.0,1101,0.08,2,Third Tier,138000,,2021-04-15,2022-11-30,,2021-11-24,138000,,https://www.transfermarkt.us/max-flick/profil/spieler/884329
2021,USL1,Peter Pearson,United States,25 (26),1.65,1995-12-17,North Carolina FC,CM,midfield - Defensive Midfield,24.0,0,0.0,1549.0,775,0.08,2,Third Tier,83000,,2022-01-27,2022-11-30,FSG USA,,83000,,https://www.transfermarkt.us/peter-pearson/profil/spieler/644927
2021,USL1,Nicolas Firmino,Brazil-United States,20 (21),1.8,2001-01-30,Union Omaha,AM,midfield - Attacking Midfield,24.0,0,1.0,745.0,373,0.08,2,Second Tier,165000,,2022-03-02,2022-11-30,,,550000,,https://www.transfermarkt.us/nicolas-firmino/profil/spieler/636422
2021,USL1,Josue España,United States,26 (27),,1995-04-04,Chattanooga Red Wolves SC,W,midfield - Left Midfield,23.0,0,0.0,1102.0,551,0.09,2,Third Tier,83000,,2020-12-13,2022-11-30,,2021-12-20,83000,,https://www.transfermarkt.us/josue-espana/profil/spieler/836142
2021,USL1,Noah Fuson,United States,21 (22),1.85,1999-12-31,Forward Madison FC,CF,attack - Centre-Forward,21.0,0,0.0,804.0,402,0.1,2,Third Tier,83000,,2022-02-18,2022-11-30,ICM Stellar Sports,,83000,,https://www.transfermarkt.us/noah-fuson/profil/spieler/802208
2021,USL1,Pierre Cayet,France,22,1.83,1999-07-07,New England Revolution II,CB,Defender - Centre-Back,20.0,0,0.0,1670.0,835,0.1,2,Third Tier,110000,,2021-04-28,2022-11-30,,,110000,,https://www.transfermarkt.us/pierre-cayet/profil/spieler/669359
2021,USL1,Modesto Méndez,Cuba,23 (24),1.88,1998-01-06,Fort Lauderdale CF,CB,Defender - Centre-Back,18.0,0,0.0,1594.0,797,0.11,2,Third Tier,138000,,2020-02-15,2022-11-30,,2022-02-24,138000,,https://www.transfermarkt.us/modesto-mendez/profil/spieler/744587
2021,USL1,Luca Mastrantonio,Italy,25,1.88,1996-05-27,FC Tucson,CB,Defender - Centre-Back,16.0,0,0.0,1093.0,547,0.13,2,Third Tier,83000,,2021-03-01,2022-11-30,,2021-12-02,83000,,https://www.transfermarkt.us/luca-mastrantonio/profil/spieler/399463
2021,USL1,Tobenna Uzo,United States-Nigeria,26 (27),1.93,1994-10-13,FC Tucson,CF,attack - Centre-Forward,12.0,0,0.0,816.0,408,0.17,2,,110000,,2021-12-01,,,,110000,,https://www.transfermarkt.us/tobenna-uzo/profil/spieler/533814
2021,USL1,Michael Tsicoulias,United States,18 (19),1.73,2002-12-09,New England Revolution II,CF,attack - Centre-Forward,12.0,0,0.0,280.0,140,0.17,2,,,,2021-08-01,,,,,,https://www.transfermarkt.us/michael-tsicoulias/profil/spieler/796428
2021,USL1,Nazmi Albadawi,Palästina-United States,30,1.8,1991-08-24,North Carolina FC,CM,midfield - Central Midfield,12.0,0,0.0,898.0,449,0.17,2,,,,2021-09-12,,Topnotch Management,,385000,,https://www.transfermarkt.us/nazmi-albadawi/profil/spieler/308162
2021,USL1,Luke Singh,Trinidad and Tobago-Canada,21,1.84,2000-09-12,Toronto FC II,CB,Defender - Centre-Back,7.0,0,0.0,593.0,297,0.29,2,,220000,,2022-03-03,,ICM Stellar Sports,,220000,,https://www.transfermarkt.us/luke-singh/profil/spieler/628769
2021,USL1,Matt Bolduc,United States,27,1.73,1994-10-12,Richmond Kickers,W,midfield - Right Midfield,28.0,3,0.0,1894.0,1894,0.04,1,Third Tier,138000,,2017-05-17,2022-11-30,,2021-12-07,165000,,https://www.transfermarkt.us/matt-bolduc/profil/spieler/430348
2021,USL1,Luca Petrasso,Canada-Italy,21,1.8,2000-06-16,Toronto FC II,FB,Defender - Left-Back,28.0,3,0.0,2385.0,2385,0.04,1,First Tier,138000,,2022-01-11,2023-12-31,NOVERA Sports,,138000,,https://www.transfermarkt.us/luca-petrasso/profil/spieler/494826
2021,USL1,John Scearce,United States,23 (24),1.85,1997-12-19,Union Omaha,CM,midfield - Central Midfield,27.0,3,0.0,2159.0,2159,0.04,1,Third Tier,138000,,2020-02-17,2022-11-30,,2021-12-21,138000,,https://www.transfermarkt.us/john-scearce/profil/spieler/670165
2021,USL1,Zacarías Morán Correa,Argentina,25 (26),1.75,1996-02-22,Richmond Kickers,CM,midfield - Central Midfield,25.0,3,0.0,2224.0,2224,0.04,1,Third Tier,165000,,2021-02-24,2022-11-30,,2022-01-06,165000,,https://www.transfermarkt.us/zacarias-moran-correa/profil/spieler/294877
2021,USL1,Tobias Otieno,Kenya,23,,1998-10-25,Union Omaha,CM,midfield - Defensive Midfield,23.0,3,0.0,1490.0,1490,0.04,1,Third Tier,110000,,2022-02-15,2023-11-30,Ascension Athletes,,110000,,https://www.transfermarkt.us/tobias-otieno/profil/spieler/708944
2021,USL1,Connor Presley,United States,23,1.8,1998-07-04,New England Revolution II,W,midfield - Right Midfield,17.0,3,0.0,1299.0,1299,0.06,1,Third Tier,193000,,2020-01-07,2022-11-30,YMU Group,2020-11-30,220000,,https://www.transfermarkt.us/connor-presley/profil/spieler/531470
