Year,Competition,Player Name,Nat.,Age,Height(Unit:m),Birthdate,Club,Position,Position Detail,Appearances,Assists,Penalty Kicks,Minutes Played,Minutes Per Goals,Goals Per Match,Goals,League Level,Salary,Salary Date,Joined Date,Contract Until,Player Agent,Date of Last Contract Extension,Highest Market Value,Date of Highest Value,player_href
2021,USL1,Andrew Booth,Jamaica-United States,24,,1997-07-16,Greenville Triumph SC,Right Midfield,midfield - Right Midfield,27,2,0,1964,982,0.07,2,Second Tier,110000,,2022-01-03,2022-11-30,Remington Ellis Management,,110000,,https://www.transfermarkt.us/andrew-booth/profil/spieler/509539
2021,USL1,Don Smart,Jamaica,33 (34),1.75,1987-12-02,Greenville Triumph SC,Right Midfield,midfield - Right Midfield,21,2,0,1184,592,0.10,2,Third Tier,110000,,2020-12-14,2022-11-30,ProConnect Soccer,2021-12-15,220000,,https://www.transfermarkt.us/don-smart/profil/spieler/190919
2021,USL1,Jackson Dietrich,Germany-United States,25,,1996-09-27,Chattanooga Red Wolves SC,midfield,midfield,20,2,0,662,331,0.10,2,,83000,,2021-12-01,,ProConnect Soccer,,83000,,https://www.transfermarkt.us/jackson-dietrich/profil/spieler/843820
2021,USL1,Connor Tobin,United States,34 (35),1.88,1987-02-11,Forward Madison FC,Centre-Back,Defender - Centre-Back,28,1,0,2519,1260,0.07,2,,110000,,2021-12-01,,,,330000,,https://www.transfermarkt.us/connor-tobin/profil/spieler/107888
2021,USL1,Kobe Pérez,Guatemala-United States,24 (25),1.70,1997-04-10,South Georgia Tormenta FC,Central Midfield,midfield - Central Midfield,26,1,0,948,474,0.08,2,,110000,,2021-12-01,,,,110000,,https://www.transfermarkt.us/kobe-perez/profil/spieler/690600
2021,USL1,Julian Altobelli,Canada-Italy,18 (19),1.78,2002-11-04,Toronto FC II,Centre-Forward,attack - Centre-Forward,23,1,0,1512,756,0.09,2,Third Tier,110000,,2020-12-16,2022-11-30,Felkrem,,110000,,https://www.transfermarkt.us/julian-altobelli/profil/spieler/718101
2021,USL1,Manuel Ferriol,Spain,23,1.80,1998-08-13,FC Tucson,Central Midfield,midfield - Central Midfield,20,1,0,835,418,0.10,2,,110000,,2021-12-01,,Invicta,,110000,,https://www.transfermarkt.us/manuel-ferriol/profil/spieler/637060
2021,USL1,Juan Pablo Monticelli,United States-Mexico,24,1.87,1997-08-26,Richmond Kickers,Left-Back,Defender - Left-Back,18,1,0,1354,677,0.11,2,,,,2022-01-21,,,,138000,,https://www.transfermarkt.us/juan-pablo-monticelli/profil/spieler/564217
2021,USL1,Joshua Donnelly,England,24 (25),1.86,1997-03-06,Greenville Triumph SC,Centre-Forward,attack - Centre-Forward,17,1,0,655,328,0.12,2,,138000,,2021-12-01,,HNG Talent ltd,,138000,,https://www.transfermarkt.us/joshua-donnelly/profil/spieler/635967
2021,USL1,Josh Penn,United States,20 (21),1.78,2000-11-25,Fort Lauderdale CF,Left Winger,attack - Left Winger,10,1,0,818,409,0.20,2,Third Tier,138000,,2022-03-08,2022-11-30,,,138000,,https://www.transfermarkt.us/josh-penn/profil/spieler/615158
2021,USL1,Jimmie Villalobos,United States-Mexico,26,1.78,1995-07-21,Chattanooga Red Wolves SC,Right Midfield,midfield - Right Midfield,25,0,0,1823,912,0.08,2,Third Tier,110000,,2020-12-04,2022-11-30,,2021-12-22,110000,,https://www.transfermarkt.us/jimmie-villalobos/profil/spieler/836268
2021,USL1,Max Flick,United States,27,1.83,1994-06-29,North Carolina FC,Centre-Back,Defender - Centre-Back,25,0,0,2201,1101,0.08,2,Third Tier,138000,,2021-04-15,2022-11-30,,2021-11-24,138000,,https://www.transfermarkt.us/max-flick/profil/spieler/884329
2021,USL1,Peter Pearson,United States,25 (26),1.65,1995-12-17,North Carolina FC,Defensive Midfield,midfield - Defensive Midfield,24,0,0,1549,775,0.08,2,Third Tier,83000,,2022-01-27,2022-11-30,FSG USA,,83000,,https://www.transfermarkt.us/peter-pearson/profil/spieler/644927
2021,USL1,Nicolas Firmino,Brazil-United States,20 (21),1.80,2001-01-30,Union Omaha,Attacking Midfield,midfield - Attacking Midfield,24,0,1,745,373,0.08,2,Second Tier,165000,,2022-03-02,2022-11-30,,,550000,,https://www.transfermarkt.us/nicolas-firmino/profil/spieler/636422
2021,USL1,Josue España,United States,26 (27),,1995-04-04,Chattanooga Red Wolves SC,Left Midfield,midfield - Left Midfield,23,0,0,1102,551,0.09,2,Third Tier,83000,,2020-12-13,2022-11-30,,2021-12-20,83000,,https://www.transfermarkt.us/josue-espana/profil/spieler/836142
2021,USL1,Noah Fuson,United States,21 (22),1.85,1999-12-31,Forward Madison FC,Centre-Forward,attack - Centre-Forward,21,0,0,804,402,0.10,2,Third Tier,83000,,2022-02-18,2022-11-30,ICM Stellar Sports,,83000,,https://www.transfermarkt.us/noah-fuson/profil/spieler/802208
2021,USL1,Pierre Cayet,France,22,1.83,1999-07-07,New England Revolution II,Centre-Back,Defender - Centre-Back,20,0,0,1670,835,0.10,2,Third Tier,110000,,2021-04-28,2022-11-30,,,110000,,https://www.transfermarkt.us/pierre-cayet/profil/spieler/669359
2021,USL1,Modesto Méndez,Cuba,23 (24),1.88,1998-01-06,Fort Lauderdale CF,Centre-Back,Defender - Centre-Back,18,0,0,1594,797,0.11,2,Third Tier,138000,,2020-02-15,2022-11-30,,2022-02-24,138000,,https://www.transfermarkt.us/modesto-mendez/profil/spieler/744587
2021,USL1,Luca Mastrantonio,Italy,25,1.88,1996-05-27,FC Tucson,Centre-Back,Defender - Centre-Back,16,0,0,1093,547,0.13,2,Third Tier,83000,,2021-03-01,2022-11-30,,2021-12-02,83000,,https://www.transfermarkt.us/luca-mastrantonio/profil/spieler/399463
2021,USL1,Tobenna Uzo,United States-Nigeria,26 (27),1.93,1994-10-13,FC Tucson,Centre-Forward,attack - Centre-Forward,12,0,0,816,408,0.17,2,,110000,,2021-12-01,,,,110000,,https://www.transfermarkt.us/tobenna-uzo/profil/spieler/533814
2021,USL1,Michael Tsicoulias,United States,18 (19),1.73,2002-12-09,New England Revolution II,Centre-Forward,attack - Centre-Forward,12,0,0,280,140,0.17,2,,,,2021-08-01,,,,,,https://www.transfermarkt.us/michael-tsicoulias/profil/spieler/796428
2021,USL1,Nazmi Albadawi,Palästina-United States,30,1.80,1991-08-24,North Carolina FC,Central Midfield,midfield - Central Midfield,12,0,0,898,449,0.17,2,,,,2021-09-12,,Topnotch Management,,385000,,https://www.transfermarkt.us/nazmi-albadawi/profil/spieler/308162
2021,USL1,Luke Singh,Trinidad and Tobago-Canada,21,1.84,2000-09-12,Toronto FC II,Centre-Back,Defender - Centre-Back,7,0,0,593,297,0.29,2,,220000,,2022-03-03,,ICM Stellar Sports,,220000,,https://www.transfermarkt.us/luke-singh/profil/spieler/628769
2021,USL1,Matt Bolduc,United States,27,1.73,1994-10-12,Richmond Kickers,Right Midfield,midfield - Right Midfield,28,3,0,1894,1894,0.04,1,Third Tier,138000,,2017-05-17,2022-11-30,,2021-12-07,165000,,https://www.transfermarkt.us/matt-bolduc/profil/spieler/430348
2021,USL1,Luca Petrasso,Canada-Italy,21,1.80,2000-06-16,Toronto FC II,Left-Back,Defender - Left-Back,28,3,0,2385,2385,0.04,1,First Tier,138000,,2022-01-11,2023-12-31,NOVERA Sports,,138000,,https://www.transfermarkt.us/luca-petrasso/profil/spieler/494826
2021,USL1,John Scearce,United States,23 (24),1.85,1997-12-19,Union Omaha,Central Midfield,midfield - Central Midfield,27,3,0,2159,2159,0.04,1,Third Tier,138000,,2020-02-17,2022-11-30,,2021-12-21,138000,,https://www.transfermarkt.us/john-scearce/profil/spieler/670165
2021,USL1,Zacarías Morán Correa,Argentina,25 (26),1.75,1996-02-22,Richmond Kickers,Central Midfield,midfield - Central Midfield,25,3,0,2224,2224,0.04,1,Third Tier,165000,,2021-02-24,2022-11-30,,2022-01-06,165000,,https://www.transfermarkt.us/zacarias-moran-correa/profil/spieler/294877
2021,USL1,Tobias Otieno,Kenya,23,,1998-10-25,Union Omaha,Defensive Midfield,midfield - Defensive Midfield,23,3,0,1490,1490,0.04,1,Third Tier,110000,,2022-02-15,2023-11-30,Ascension Athletes,,110000,,https://www.transfermarkt.us/tobias-otieno/profil/spieler/708944
2021,USL1,Connor Presley,United States,23,1.80,1998-07-04,New England Revolution II,Right Midfield,midfield - Right Midfield,17,3,0,1299,1299,0.06,1,Third Tier,193000,,2020-01-07,2022-11-30,YMU Group,2020-11-30,220000,,https://www.transfermarkt.us/connor-presley/profil/spieler/531470
2021,USL1,Aziel Jackson,United States,20,1.75,2001-10-25,North Carolina FC,Attacking Midfield,midfield - Attacking Midfield,12,3,0,824,824,0.08,1,Third Tier,83000,,2022-03-23,2022-11-30,,,83000,,https://www.transfermarkt.us/aziel-jackson/profil/spieler/889193
